skill_name,skill_class,job_classification,group,,,
Quality Management,Project Management & Agile Methodologies,Business Analyst,Project & Product Management,,,
Risk Assessment,Project Management & Agile Methodologies,Business Analyst,Project & Product Management,,,
SDLC Process,Project Management & Agile Methodologies,Business Analyst,Project & Product Management,,,
SMART Goals,Project Management & Agile Methodologies,Business Analyst,Project & Product Management,,,
Workflow Design,Project Management & Agile Methodologies,Business Analyst,Project & Product Management,,,
Customer Segments,Product Management & Customer Insights,Business Analyst,Project & Product Management,,,
Market Analysis,Product Management & Customer Insights,Business Analyst,Project & Product Management,,,
Market Research,Product Management & Customer Insights,Business Analyst,Project & Product Management,,,
Market Trends,Product Management & Customer Insights,Business Analyst,Project & Product Management,,,
Product Development,Product Management & Customer Insights,Business Analyst,Project & Product Management,,,
Product Discovery,Product Management & Customer Insights,Business Analyst,Project & Product Management,,,
Product Management,Product Management & Customer Insights,Business Analyst,Project & Product Management,,,
Product Market Fit,Product Management & Customer Insights,Business Analyst,Project & Product Management,,,
Product Prioritization,Product Management & Customer Insights,Business Analyst,Project & Product Management,,,
Sales Pipeline,Product Management & Customer Insights,Business Analyst,Project & Product Management,,,
User Feedback,Product Management & Customer Insights,Business Analyst,Project & Product Management,,,
User Input,Product Management & Customer Insights,Business Analyst,Project & Product Management,,,
Airtable Basics,"Technical Skills, Tools & Automation",Business Analyst,Software Engineering & Development,,,
API Service,"Technical Skills, Tools & Automation",Business Analyst,Software Engineering & Development,,,
API Specification,"Technical Skills, Tools & Automation",Business Analyst,Software Engineering & Development,,,
Automated Data Entry,"Technical Skills, Tools & Automation",Business Analyst,Software Engineering & Development,,,
Automatic Table of Contents,"Technical Skills, Tools & Automation",Business Analyst,Software Engineering & Development,,,
Automation,"Technical Skills, Tools & Automation",Business Analyst,Software Engineering & Development,,,
Cloud Flow,"Technical Skills, Tools & Automation",Business Analyst,Software Engineering & Development,,,
Code Delay,"Technical Skills, Tools & Automation",Business Analyst,Software Engineering & Development,,,
CRM Systems,"Technical Skills, Tools & Automation",Business Analyst,Software Engineering & Development,,,
Customer Relationship Management (CRM),"Technical Skills, Tools & Automation",Business Analyst,Software Engineering & Development,,,
Desktop Flow,"Technical Skills, Tools & Automation",Business Analyst,Software Engineering & Development,,,
Emoji Support,"Technical Skills, Tools & Automation",Business Analyst,Software Engineering & Development,,,
Excel Macro,"Technical Skills, Tools & Automation",Business Analyst,Software Engineering & Development,,,
HR Automation,"Technical Skills, Tools & Automation",Business Analyst,Software Engineering & Development,,,
Inventory Management,"Technical Skills, Tools & Automation",Business Analyst,Software Engineering & Development,,,
Lowcode,"Technical Skills, Tools & Automation",Business Analyst,Software Engineering & Development,,,
OneDrive,"Technical Skills, Tools & Automation",Business Analyst,Software Engineering & Development,,,
Page Numbering,"Technical Skills, Tools & Automation",Business Analyst,Software Engineering & Development,,,
Power Platform,"Technical Skills, Tools & Automation",Business Analyst,Software Engineering & Development,,,
Robotic Process Automation,"Technical Skills, Tools & Automation",Business Analyst,Software Engineering & Development,,,
SharePoint,"Technical Skills, Tools & Automation",Business Analyst,Software Engineering & Development,,,
Static Files,"Technical Skills, Tools & Automation",Business Analyst,Software Engineering & Development,,,
UiPath,"Technical Skills, Tools & Automation",Business Analyst,Software Engineering & Development,,,
VBA Scripting,"Technical Skills, Tools & Automation",Business Analyst,Software Engineering & Development,,,
Visual Formatting,"Technical Skills, Tools & Automation",Business Analyst,Software Engineering & Development,,,
Audience Analysis,"Communication, Stakeholder Management & Soft Skills",Business Analyst,"Marketing, Content & Communications",,,
Business Communication,"Communication, Stakeholder Management & Soft Skills",Business Analyst,"Marketing, Content & Communications",,,
Case Studies,"Communication, Stakeholder Management & Soft Skills",Business Analyst,"Marketing, Content & Communications",,,
Communication Skills,"Communication, Stakeholder Management & Soft Skills",Business Analyst,"Marketing, Content & Communications",,,
Creative Writing,"Communication, Stakeholder Management & Soft Skills",Business Analyst,"Marketing, Content & Communications",,,
Critical Thinking,"Communication, Stakeholder Management & Soft Skills",Business Analyst,"Marketing, Content & Communications",,,
Decision Making,"Communication, Stakeholder Management & Soft Skills",Business Analyst,"Marketing, Content & Communications",,,
Presentation Design,"Communication, Stakeholder Management & Soft Skills",Business Analyst,"Marketing, Content & Communications",,,
Stakeholder Management,"Communication, Stakeholder Management & Soft Skills",Business Analyst,"Marketing, Content & Communications",,,
Story Structuring,"Communication, Stakeholder Management & Soft Skills",Business Analyst,"Marketing, Content & Communications",,,
Storytelling,"Communication, Stakeholder Management & Soft Skills",Business Analyst,"Marketing, Content & Communications",,,
Team Collaboration,"Communication, Stakeholder Management & Soft Skills",Business Analyst,"Marketing, Content & Communications",,,
Behavior Tracking,Behavioral Science & User Experience,Business Analyst,Design & User Experience (UX/UI),,,
Behavioral Economics,Behavioral Science & User Experience,Business Analyst,Design & User Experience (UX/UI),,,
Behavioural Insights,Behavioral Science & User Experience,Business Analyst,Design & User Experience (UX/UI),,,
Bias Reduction,Behavioral Science & User Experience,Business Analyst,Design & User Experience (UX/UI),,,
Cognitive Biases,Behavioral Science & User Experience,Business Analyst,Design & User Experience (UX/UI),,,
Empathize,Behavioral Science & User Experience,Business Analyst,Design & User Experience (UX/UI),,,
Nudging Techniques,Behavioral Science & User Experience,Business Analyst,Design & User Experience (UX/UI),,,
User Efficiency,Behavioral Science & User Experience,Business Analyst,Design & User Experience (UX/UI),,,
User Interaction,Behavioral Science & User Experience,Business Analyst,Design & User Experience (UX/UI),,,
AWS S3,Cloud Security & Architecture,Cybersecurity Specialist,Security Engineering & Architecture,,,
Azure Policy,Cloud Security & Architecture,Cybersecurity Specialist,Security Engineering & Architecture,,,
Azure Security,Cloud Security & Architecture,Cybersecurity Specialist,Security Engineering & Architecture,,,
Azure Tools,Cloud Security & Architecture,Cybersecurity Specialist,Security Engineering & Architecture,,,
Cloud Architecture,Cloud Security & Architecture,Cybersecurity Specialist,Security Engineering & Architecture,,,
Cloud Computing,Cloud Security & Architecture,Cybersecurity Specialist,Security Engineering & Architecture,,,
Cloud Monitoring,Cloud Security & Architecture,Cybersecurity Specialist,Security Engineering & Architecture,,,
Cloud Security,Cloud Security & Architecture,Cybersecurity Specialist,Security Engineering & Architecture,,,
Access Management,Identity & Access Management (IAM),Cybersecurity Specialist,Security Engineering & Architecture,,,
Channel Access Token,Identity & Access Management (IAM),Cybersecurity Specialist,Security Engineering & Architecture,,,
IAM Management,Identity & Access Management (IAM),Cybersecurity Specialist,Security Engineering & Architecture,,,
Identity Management,Identity & Access Management (IAM),Cybersecurity Specialist,Security Engineering & Architecture,,,
Token Management,Identity & Access Management (IAM),Cybersecurity Specialist,Security Engineering & Architecture,,,
Compliance Monitoring,"Governance, Risk & Compliance (GRC)",Cybersecurity Specialist,"Governance, Risk & Compliance (GRC)",,,
Legal Compliance,"Governance, Risk & Compliance (GRC)",Cybersecurity Specialist,"Governance, Risk & Compliance (GRC)",,,
Policy Framework,"Governance, Risk & Compliance (GRC)",Cybersecurity Specialist,"Governance, Risk & Compliance (GRC)",,,
Privacy Management,"Governance, Risk & Compliance (GRC)",Cybersecurity Specialist,"Governance, Risk & Compliance (GRC)",,,
Resilience Planning,"Governance, Risk & Compliance (GRC)",Cybersecurity Specialist,"Governance, Risk & Compliance (GRC)",,,
Risk management,"Governance, Risk & Compliance (GRC)",Cybersecurity Specialist,"Governance, Risk & Compliance (GRC)",,,
Security Governance,"Governance, Risk & Compliance (GRC)",Cybersecurity Specialist,"Governance, Risk & Compliance (GRC)",,,
Security Practices,"Governance, Risk & Compliance (GRC)",Cybersecurity Specialist,"Governance, Risk & Compliance (GRC)",,,
Cyber Threats,Threat Intelligence & Incident Response,Cybersecurity Specialist,Security Operations & Threat Management,,,
Incident Response,Threat Intelligence & Incident Response,Cybersecurity Specialist,Security Operations & Threat Management,,,
Malicious Code,Threat Intelligence & Incident Response,Cybersecurity Specialist,Security Operations & Threat Management,,,
Monitoring for Cyber Threats,Threat Intelligence & Incident Response,Cybersecurity Specialist,Security Operations & Threat Management,,,
Social Engineering,Threat Intelligence & Incident Response,Cybersecurity Specialist,Security Operations & Threat Management,,,
Threat Assessment,Threat Intelligence & Incident Response,Cybersecurity Specialist,Security Operations & Threat Management,,,
Threat Detection,Threat Intelligence & Incident Response,Cybersecurity Specialist,Security Operations & Threat Management,,,
Penetration Testing,Vulnerability Management & Offensive Security,Cybersecurity Specialist,Security Operations & Threat Management,,,
Vulnerability Assessment,Vulnerability Management & Offensive Security,Cybersecurity Specialist,Security Operations & Threat Management,,,
Vulnerability Management,Vulnerability Management & Offensive Security,Cybersecurity Specialist,Security Operations & Threat Management,,,
Cryptography,Data Security & Privacy,Cybersecurity Specialist,"Governance, Risk & Compliance (GRC)",,,
Data pipeline,Data Security & Privacy,Cybersecurity Specialist,"Governance, Risk & Compliance (GRC)",,,
Data Privacy,Data Security & Privacy,Cybersecurity Specialist,"Governance, Risk & Compliance (GRC)",,,
Data Protection,Data Security & Privacy,Cybersecurity Specialist,"Governance, Risk & Compliance (GRC)",,,
Data Security,Data Security & Privacy,Cybersecurity Specialist,"Governance, Risk & Compliance (GRC)",,,
Data Tools,Data Security & Privacy,Cybersecurity Specialist,"Governance, Risk & Compliance (GRC)",,,
Digital Asset,Data Security & Privacy,Cybersecurity Specialist,"Governance, Risk & Compliance (GRC)",,,
Information Security,Data Security & Privacy,Cybersecurity Specialist,"Governance, Risk & Compliance (GRC)",,,
SQL,Data Security & Privacy,Cybersecurity Specialist,"Governance, Risk & Compliance (GRC)",,,
Application Security,Application Security & DevSecOps,Cybersecurity Specialist,Security Engineering & Architecture,,,
Continuous Deployment,Application Security & DevSecOps,Cybersecurity Specialist,Security Engineering & Architecture,,,
DevSecOps,Application Security & DevSecOps,Cybersecurity Specialist,Security Engineering & Architecture,,,
HR Automation,Application Security & DevSecOps,Cybersecurity Specialist,Security Engineering & Architecture,,,
Security Automation,Application Security & DevSecOps,Cybersecurity Specialist,Security Engineering & Architecture,,,
Endpoint Security,Network & Endpoint Security,Cybersecurity Specialist,Security Operations & Threat Management,,,
Network Security,Network & Endpoint Security,Cybersecurity Specialist,Security Operations & Threat Management,,,
Security Service,Network & Endpoint Security,Cybersecurity Specialist,Security Operations & Threat Management,,,
Cybersecurity,General Security Concepts,Cybersecurity Specialist,Security Engineering & Architecture,,,
Emerging Technologies,General Security Concepts,Cybersecurity Specialist,Security Engineering & Architecture,,,
Security Awareness,General Security Concepts,Cybersecurity Specialist,Security Engineering & Architecture,,,
ANOVA,Data Analysis & Statistics,Data Analyst,"Data, Analytics & AI",,,
Data Analysis,Data Analysis & Statistics,Data Analyst,"Data, Analytics & AI",,,
Data Analysis Techniques,Data Analysis & Statistics,Data Analyst,"Data, Analytics & AI",,,
Data Analysis Workflow,Data Analysis & Statistics,Data Analyst,"Data, Analytics & AI",,,
Data Analytics,Data Analysis & Statistics,Data Analyst,"Data, Analytics & AI",,,
Exploratory Data Analysis,Data Analysis & Statistics,Data Analyst,"Data, Analytics & AI",,,
Metrics,Data Analysis & Statistics,Data Analyst,"Data, Analytics & AI",,,
P-value,Data Analysis & Statistics,Data Analyst,"Data, Analytics & AI",,,
Performance Metrics,Data Analysis & Statistics,Data Analyst,"Data, Analytics & AI",,,
Predictive Analytics,Data Analysis & Statistics,Data Analyst,"Data, Analytics & AI",,,
Statistic,Data Analysis & Statistics,Data Analyst,"Data, Analytics & AI",,,
statistical Analysis,Data Analysis & Statistics,Data Analyst,"Data, Analytics & AI",,,
Trend Analysis,Data Analysis & Statistics,Data Analyst,"Data, Analytics & AI",,,
Trend Identification,Data Analysis & Statistics,Data Analyst,"Data, Analytics & AI",,,
Add Operation,"Data Manipulation, Transformation & Modeling",Data Analyst,"Data, Analytics & AI",,,
Calculated Columns,"Data Manipulation, Transformation & Modeling",Data Analyst,"Data, Analytics & AI",,,
Data Aggregation,"Data Manipulation, Transformation & Modeling",Data Analyst,"Data, Analytics & AI",,,
Data Cleaning,"Data Manipulation, Transformation & Modeling",Data Analyst,"Data, Analytics & AI",,,
Data Combining,"Data Manipulation, Transformation & Modeling",Data Analyst,"Data, Analytics & AI",,,
Data Exploration,"Data Manipulation, Transformation & Modeling",Data Analyst,"Data, Analytics & AI",,,
Data Filters,"Data Manipulation, Transformation & Modeling",Data Analyst,"Data, Analytics & AI",,,
Data Import,"Data Manipulation, Transformation & Modeling",Data Analyst,"Data, Analytics & AI",,,
Data Lookup,"Data Manipulation, Transformation & Modeling",Data Analyst,"Data, Analytics & AI",,,
Data Manipulation,"Data Manipulation, Transformation & Modeling",Data Analyst,"Data, Analytics & AI",,,
Data Model,"Data Manipulation, Transformation & Modeling",Data Analyst,"Data, Analytics & AI",,,
Data Modeling,"Data Manipulation, Transformation & Modeling",Data Analyst,"Data, Analytics & AI",,,
Data Preparation,"Data Manipulation, Transformation & Modeling",Data Analyst,"Data, Analytics & AI",,,
Data Processing,"Data Manipulation, Transformation & Modeling",Data Analyst,"Data, Analytics & AI",,,
Data Relationship,"Data Manipulation, Transformation & Modeling",Data Analyst,"Data, Analytics & AI",,,
Data Retrieval,"Data Manipulation, Transformation & Modeling",Data Analyst,"Data, Analytics & AI",,,
Data Sorting,"Data Manipulation, Transformation & Modeling",Data Analyst,"Data, Analytics & AI",,,
Data Summarization,"Data Manipulation, Transformation & Modeling",Data Analyst,"Data, Analytics & AI",,,
Data Transformation,"Data Manipulation, Transformation & Modeling",Data Analyst,"Data, Analytics & AI",,,
Data type,"Data Manipulation, Transformation & Modeling",Data Analyst,"Data, Analytics & AI",,,
Data Validation,"Data Manipulation, Transformation & Modeling",Data Analyst,"Data, Analytics & AI",,,
Data Workflow,"Data Manipulation, Transformation & Modeling",Data Analyst,"Data, Analytics & AI",,,
Data Wrangling,"Data Manipulation, Transformation & Modeling",Data Analyst,"Data, Analytics & AI",,,
Filter Function,"Data Manipulation, Transformation & Modeling",Data Analyst,"Data, Analytics & AI",,,
Function,"Data Manipulation, Transformation & Modeling",Data Analyst,"Data, Analytics & AI",,,
INDIRECT Formula,"Data Manipulation, Transformation & Modeling",Data Analyst,"Data, Analytics & AI",,,
Joins,"Data Manipulation, Transformation & Modeling",Data Analyst,"Data, Analytics & AI",,,
Measures,"Data Manipulation, Transformation & Modeling",Data Analyst,"Data, Analytics & AI",,,
Pivot Table,"Data Manipulation, Transformation & Modeling",Data Analyst,"Data, Analytics & AI",,,
Pivot Table Basics,"Data Manipulation, Transformation & Modeling",Data Analyst,"Data, Analytics & AI",,,
Pivot Table Creation,"Data Manipulation, Transformation & Modeling",Data Analyst,"Data, Analytics & AI",,,
Subquery,"Data Manipulation, Transformation & Modeling",Data Analyst,"Data, Analytics & AI",,,
Window Functions,"Data Manipulation, Transformation & Modeling",Data Analyst,"Data, Analytics & AI",,,
Chart Types,Data Visualization & Reporting,Data Analyst,"Data, Analytics & AI",,,
Dashboard,Data Visualization & Reporting,Data Analyst,"Data, Analytics & AI",,,
Data Presentation,Data Visualization & Reporting,Data Analyst,"Data, Analytics & AI",,,
Data Reporting,Data Visualization & Reporting,Data Analyst,"Data, Analytics & AI",,,
Data Visualization,Data Visualization & Reporting,Data Analyst,"Data, Analytics & AI",,,
Data Visualization Techniques,Data Visualization & Reporting,Data Analyst,"Data, Analytics & AI",,,
Graph Selection,Data Visualization & Reporting,Data Analyst,"Data, Analytics & AI",,,
Interactive Report,Data Visualization & Reporting,Data Analyst,"Data, Analytics & AI",,,
Visual Formatting,Data Visualization & Reporting,Data Analyst,"Data, Analytics & AI",,,
Airtable Extensions,"Tools, Technologies & Programming",Data Analyst,Software Engineering & Development,,,
API Service,"Tools, Technologies & Programming",Data Analyst,Software Engineering & Development,,,
Automation,"Tools, Technologies & Programming",Data Analyst,Software Engineering & Development,,,
Data Tools,"Tools, Technologies & Programming",Data Analyst,Software Engineering & Development,,,
DAX,"Tools, Technologies & Programming",Data Analyst,Software Engineering & Development,,,
DAX Functions,"Tools, Technologies & Programming",Data Analyst,Software Engineering & Development,,,
Dropdown List,"Tools, Technologies & Programming",Data Analyst,Software Engineering & Development,,,
Error Handling,"Tools, Technologies & Programming",Data Analyst,Software Engineering & Development,,,
Excel,"Tools, Technologies & Programming",Data Analyst,Software Engineering & Development,,,
Google BigQuery,"Tools, Technologies & Programming",Data Analyst,Software Engineering & Development,,,
Google Sheet,"Tools, Technologies & Programming",Data Analyst,Software Engineering & Development,,,
HTML,"Tools, Technologies & Programming",Data Analyst,Software Engineering & Development,,,
Looker Studio,"Tools, Technologies & Programming",Data Analyst,Software Engineering & Development,,,
Pandas Library,"Tools, Technologies & Programming",Data Analyst,Software Engineering & Development,,,
Power BI,"Tools, Technologies & Programming",Data Analyst,Software Engineering & Development,,,
Power Query,"Tools, Technologies & Programming",Data Analyst,Software Engineering & Development,,,
Python Map,"Tools, Technologies & Programming",Data Analyst,Software Engineering & Development,,,
Qlik Sense,"Tools, Technologies & Programming",Data Analyst,Software Engineering & Development,,,
RPA Tools,"Tools, Technologies & Programming",Data Analyst,Software Engineering & Development,,,
SQL,"Tools, Technologies & Programming",Data Analyst,Software Engineering & Development,,,
Streaming Fund+,"Tools, Technologies & Programming",Data Analyst,Software Engineering & Development,,,
Tableau Public,"Tools, Technologies & Programming",Data Analyst,Software Engineering & Development,,,
VBA Scripting,"Tools, Technologies & Programming",Data Analyst,Software Engineering & Development,,,
Web Scraping,"Tools, Technologies & Programming",Data Analyst,Software Engineering & Development,,,
Business Insights,Business Intelligence & Domain Applications,Data Analyst,"Business, Strategy & Finance",,,
Customer Analytics,Business Intelligence & Domain Applications,Data Analyst,"Business, Strategy & Finance",,,
Customer Segments,Business Intelligence & Domain Applications,Data Analyst,"Business, Strategy & Finance",,,
Demand Forecasting,Business Intelligence & Domain Applications,Data Analyst,"Business, Strategy & Finance",,,
Expense Tracking,Business Intelligence & Domain Applications,Data Analyst,"Business, Strategy & Finance",,,
Recruitment Analytics,Business Intelligence & Domain Applications,Data Analyst,"Business, Strategy & Finance",,,
Supply Chain Analytics,Business Intelligence & Domain Applications,Data Analyst,"Business, Strategy & Finance",,,
Audience Engagement,Communication & Insights,Data Analyst,"Marketing, Content & Communications",,,
Communication Strategies,Communication & Insights,Data Analyst,"Marketing, Content & Communications",,,
Data Insights,Communication & Insights,Data Analyst,"Marketing, Content & Communications",,,
Data Storytelling,Communication & Insights,Data Analyst,"Marketing, Content & Communications",,,
Data-Driven,Communication & Insights,Data Analyst,"Marketing, Content & Communications",,,
Effective Communication,Communication & Insights,Data Analyst,"Marketing, Content & Communications",,,
Information Clarity,Communication & Insights,Data Analyst,"Marketing, Content & Communications",,,
Insight Communication,Communication & Insights,Data Analyst,"Marketing, Content & Communications",,,
Insight Extraction,Communication & Insights,Data Analyst,"Marketing, Content & Communications",,,
Insight Formation,Communication & Insights,Data Analyst,"Marketing, Content & Communications",,,
Insight Generation,Communication & Insights,Data Analyst,"Marketing, Content & Communications",,,
Insights,Communication & Insights,Data Analyst,"Marketing, Content & Communications",,,
Data Collection,Data Management & Governance,Data Analyst,"Data, Analytics & AI",,,
Data Efficiency,Data Management & Governance,Data Analyst,"Data, Analytics & AI",,,
Data Management,Data Management & Governance,Data Analyst,"Data, Analytics & AI",,,
Data Quality,Data Management & Governance,Data Analyst,"Data, Analytics & AI",,,
Data Source Connection,Data Management & Governance,Data Analyst,"Data, Analytics & AI",,,
Permission Management,Data Management & Governance,Data Analyst,"Data, Analytics & AI",,,
Dynamic UI,User Experience (UX),Data Analyst,Design & User Experience (UX/UI),,,
User Feedback,User Experience (UX),Data Analyst,Design & User Experience (UX/UI),,,
UX/UI,User Experience (UX),Data Analyst,Design & User Experience (UX/UI),,,
Automated Workflow,Data Pipeline & ETL,Data Engineer,"Data, Analytics & AI",,,
Data Extraction,Data Pipeline & ETL,Data Engineer,"Data, Analytics & AI",,,
Data Integration,Data Pipeline & ETL,Data Engineer,"Data, Analytics & AI",,,
Data Migration,Data Pipeline & ETL,Data Engineer,"Data, Analytics & AI",,,
Data Partitioning,Data Pipeline & ETL,Data Engineer,"Data, Analytics & AI",,,
Data pipeline,Data Pipeline & ETL,Data Engineer,"Data, Analytics & AI",,,
Data Processing,Data Pipeline & ETL,Data Engineer,"Data, Analytics & AI",,,
Data Transformation,Data Pipeline & ETL,Data Engineer,"Data, Analytics & AI",,,
ETL Process,Data Pipeline & ETL,Data Engineer,"Data, Analytics & AI",,,
ETL/ELT,Data Pipeline & ETL,Data Engineer,"Data, Analytics & AI",,,
RealTime Processing,Data Pipeline & ETL,Data Engineer,"Data, Analytics & AI",,,
AWS S3,Data Architecture & Storage,Data Engineer,"Data, Analytics & AI",,,
Big Data,Data Architecture & Storage,Data Engineer,"Data, Analytics & AI",,,
Data Ecosystem,Data Architecture & Storage,Data Engineer,"Data, Analytics & AI",,,
Data Lake,Data Architecture & Storage,Data Engineer,"Data, Analytics & AI",,,
Data Modeling,Data Architecture & Storage,Data Engineer,"Data, Analytics & AI",,,
Data Warehouse,Data Architecture & Storage,Data Engineer,"Data, Analytics & AI",,,
Data Warehousing,Data Architecture & Storage,Data Engineer,"Data, Analytics & AI",,,
Storage Services,Data Architecture & Storage,Data Engineer,"Data, Analytics & AI",,,
API Service,Cloud & Infrastructure,Data Engineer,"Cloud, DevOps & IT Infrastructure",,,
Cloud Monitoring,Cloud & Infrastructure,Data Engineer,"Cloud, DevOps & IT Infrastructure",,,
Environment Setup,Cloud & Infrastructure,Data Engineer,"Cloud, DevOps & IT Infrastructure",,,
IaaS,Cloud & Infrastructure,Data Engineer,"Cloud, DevOps & IT Infrastructure",,,
