course_name,skill_name,job_classification,skill_class,revised_job_classification
AWS: DevSecOps Fundamentals,DevSecOps,Software Developer and Prompt Engineer),Application Security & DevSecOps,Cybersecurity Specialist
AWS: DevSecOps Fundamentals,HR Automation,Cybersecurity Specialist,"Technical Skills, Tools & Automation",Business Analyst
AWS: DevSecOps Fundamentals,Infrastructure as Code,Software Developer and Prompt Engineer),"Cloud, DevOps & Architecture",Software Developer and Prompt 
AWS: DevSecOps Fundamentals,Infrastructure as Code (IaC),Software Developer and Prompt Engineer),"Cloud, DevOps & Architecture",Software Developer and Prompt 
AWS: Mastering Application Deployment,API Service,Software Developer and Prompt Engineer),"Technical Skills, Tools & Automation",Business Analyst
AWS: Mastering Application Deployment,Application Deployment,Software Developer and Prompt Engineer),#N/A,#N/A
AWS: Mastering Application Deployment,Auto Scaling,Software Developer and Prompt Engineer,"Cloud, DevOps & Architecture",Software Developer and Prompt 
AWS: Mastering Application Deployment,Cloud Computing,Software Developer and Prompt Engineer,Cloud Security & Architecture,Cybersecurity Specialist
AWS: Mastering Application Deployment,CloudFront Usage,Software Developer and Prompt Engineer),#N/A,#N/A
AWS: Mastering Application Deployment,Data pipeline,Data Engineer,Data Analytics & Business Intelligence,Business Analyst
AWS: Mastering Application Deployment,ElastiCache Optimization,Software Developer and Prompt Engineer),#N/A,#N/A
AWS: Microservices Essentials,API Service,Software Developer and Prompt Engineer),"Technical Skills, Tools & Automation",Business Analyst
AWS: Microservices Essentials,AWS Lambda,Software Developer and Prompt Engineer),#N/A,#N/A
AWS: Microservices Essentials,Cloud Computing,Software Developer and Prompt Engineer,Cloud Security & Architecture,Cybersecurity Specialist
AWS: Microservices Essentials,Data pipeline,Data Engineer,Data Analytics & Business Intelligence,Business Analyst
AWS: Microservices Essentials,DockerHub,Software Developer and Prompt Engineer),"Cloud, DevOps & Architecture",Software Developer and Prompt 
AWS: Microservices Essentials,EventBridge,Software Developer and Prompt Engineer),#N/A,#N/A
AWS: Microservices Essentials,Microservices,Software Developer and Prompt Engineer),"Cloud, DevOps & Architecture",Software Developer and Prompt 
AWS: Microservices Essentials,SQS and SNS,Software Developer and Prompt Engineer),#N/A,#N/A
AWS: Well-Architected Essentials,7P Framework,Divisional transformation,Business Strategy & Domain Knowledge,Business Analyst
AWS: Well-Architected Essentials,Cloud Computing,Software Developer and Prompt Engineer,Cloud Security & Architecture,Cybersecurity Specialist
AWS: Well-Architected Essentials,Cost Optimization,Software Developer and Prompt Engineer),#N/A,#N/A
AWS: Well-Architected Essentials,Cyber Threats,Cybersecurity Specialist,Threat Intelligence & Incident Response,Cybersecurity Specialist
AWS: Well-Architected Essentials,Data pipeline,Data Engineer,Data Analytics & Business Intelligence,Business Analyst
AWS: Well-Architected Essentials,Operational Excellence,Software Developer and Prompt Engineer,"Process, Management & Soft Skills",Software Developer and Prompt 
AWS: Well-Architected Essentials,Reliability,Software Developer and Prompt Engineer),#N/A,#N/A
AWS: Well-Architected Essentials,Sustainability,Sustainability Project Manager,Leadership & Domain Expertise,Sustainability Project Manager
Accounting and Taxation for Online Business บัญชีและภาษีเริ่มต้นสำหรับธุรกิจออนไลน์,Financial Planning,Business Analyst,Financial Analysis & Accounting,Business Analyst
Accounting and Taxation for Online Business บัญชีและภาษีเริ่มต้นสำหรับธุรกิจออนไลน์,Kanban Principles,Business Analyst,Project Management & Agile Methodologies,Business Analyst
Accounting and Taxation for Online Business บัญชีและภาษีเริ่มต้นสำหรับธุรกิจออนไลน์,Legal Compliance,Business Analyst,Business Strategy & Domain Knowledge,Business Analyst
Accounting and Taxation for Online Business บัญชีและภาษีเริ่มต้นสำหรับธุรกิจออนไลน์,Online business,Business Analyst,Business Strategy & Domain Knowledge,Business Analyst
Accounting and Taxation for Online Business บัญชีและภาษีเริ่มต้นสำหรับธุรกิจออนไลน์,SQL,Data Analyst,Data Security & Privacy,Cybersecurity Specialist
Advanced SQL for Data Analytics with BigQuery,Business Analysis,Business Analyst,Business Strategy & Domain Knowledge,Business Analyst
Advanced SQL for Data Analytics with BigQuery,Data Analytics,Data Analyst,Data Analysis & Statistics,Data Analyst
Advanced SQL for Data Analytics with BigQuery,Data Visualization,Data Analyst,Data Analytics & Business Intelligence,Business Analyst
Advanced SQL for Data Analytics with BigQuery,Function,Data Analyst,"Data Manipulation, Transformation & Modeling",Data Analyst
Advanced SQL for Data Analytics with BigQuery,Google BigQuery,Data Analyst,"Tools, Technologies & Programming",Data Analyst
Advanced SQL for Data Analytics with BigQuery,SQL,Data Analyst,Data Security & Privacy,Cybersecurity Specialist
Advanced SQL for Data Analytics with BigQuery,Subquery,Data Analyst,"Data Manipulation, Transformation & Modeling",Data Analyst
Advanced SQL for Data Analytics with BigQuery,Window Functions,Data Analyst,"Data Manipulation, Transformation & Modeling",Data Analyst
Agile Essentials,Agile,Divisional transformation,Project Management & Agile Operations,Digital Transformation
Agile Essentials,Agile Method,Divisional transformation,Project Management & Agile Methodologies,Business Analyst
Agile Essentials,Iterative Development,Software Developer and Prompt Engineer),#N/A,#N/A
Agile Essentials,Kanban Principles,Divisional transformation,Project Management & Agile Methodologies,Business Analyst
Agile Essentials,Project Management,Sustainability Project Manager,Project Management & Agile Methodologies,Business Analyst
Agile Essentials,Scrum Framework,Software Developer and Prompt Engineer,"Process, Management & Soft Skills",Software Developer and Prompt 
Agile Foundation,Agile,Divisional transformation,Project Management & Agile Operations,Digital Transformation
Agile Foundation,Agile Method,Divisional transformation,Project Management & Agile Methodologies,Business Analyst
Agile Foundation,Continuous Improvement,Business Analyst,Project Management & Agile Methodologies,Business Analyst
Agile Foundation,OKRs,Divisional transformation,Project Management & Agile Operations,Digital Transformation
Agile Foundation,Team Collaboration,Divisional transformation,"Communication, Stakeholder Management & Soft Skills",Business Analyst
Algorithm Essentials: Bridging Theory and Real-World Practice,Algorithms,Software Developer and Prompt Engineer,Machine Learning & Modeling,Data Scientist
Algorithm Essentials: Bridging Theory and Real-World Practice,Dynamic Programming,Software Developer and Prompt Engineer),#N/A,#N/A
Algorithm Essentials: Bridging Theory and Real-World Practice,Graph Algorithm,Software Developer and Prompt Engineer),#N/A,#N/A
Algorithm Essentials: Bridging Theory and Real-World Practice,SEO optimization,Digital and performance marketer,SEO & Web Optimization,Digital and performance marketer
Algorithm Essentials: Bridging Theory and Real-World Practice,Sort Algorithms,Software Developer and Prompt Engineer),#N/A,#N/A
Algorithm Essentials: Bridging Theory and Real-World Practice,Time Complexity,Software Developer and Prompt Engineer),#N/A,#N/A
Android Fundamentals for Basic App Development,APK Creation,Software Developer and Prompt Engineer,Frontend Development & UI/UX,Software Developer and Prompt 
Android Fundamentals for Basic App Development,Android Studio,Software Developer and Prompt Engineer),#N/A,#N/A
Android Fundamentals for Basic App Development,App Component,Software Developer and Prompt Engineer,Frontend Development & UI/UX,Software Developer and Prompt 
Android Fundamentals for Basic App Development,Intent Management,Software Developer and Prompt Engineer),#N/A,#N/A
Android Fundamentals for Basic App Development,UI Components,Software Developer and Prompt Engineer),Frontend Development & UI/UX,Software Developer and Prompt 
Android Fundamentals for Basic App Development,View Binding,Software Developer and Prompt Engineer),#N/A,#N/A
Android UI Design with XML,Android UI,UXUI,Frontend Development & UI/UX,Software Developer and Prompt 
Android UI Design with XML,Create Style Guides,UXUI,Visual Interface Design,UXUI
Android UI Design with XML,Layout Editor,UXUI,Visual Interface Design,UXUI
Android UI Design with XML,String Resource,UXUI,Technical Implementation & Tools,UXUI
Android UI Design with XML,UI Components,UXUI,Frontend Development & UI/UX,Software Developer and Prompt 
Android UI Design with XML,UI Design,UXUI,Visual Interface Design,UXUI
Android UI Design with XML,XML Layout,UXUI,Frontend Development & UI/UX,Software Developer and Prompt 
Behavioral Economics in Daily Life เข้าใจการตัดสินใจของมนุษย์ ผ่านเศรษฐศาสตร์พฤติกรรม,Behavioral Economics,Business Analyst,Behavioral Science & User Experience,Business Analyst
Behavioral Economics in Daily Life เข้าใจการตัดสินใจของมนุษย์ ผ่านเศรษฐศาสตร์พฤติกรรม,Decision Making,Business Analyst,"Communication, Stakeholder Management & Soft Skills",Business Analyst
Behavioral Economics in Daily Life เข้าใจการตัดสินใจของมนุษย์ ผ่านเศรษฐศาสตร์พฤติกรรม,Market Planning,Digital and performance marketer,Marketing Strategy & Market Research,Digital and performance marketer
Behavioral Economics in Daily Life เข้าใจการตัดสินใจของมนุษย์ ผ่านเศรษฐศาสตร์พฤติกรรม,Nudge Theory,Digital and performance marketer,Marketing Strategy & Market Research,Digital and performance marketer
Behavioural Science for Business,Behavioural Insights,Business Analyst,Behavioral Science & User Experience,Business Analyst
Behavioural Science for Business,Cognitive Biases,Business Analyst,Behavioral Science & User Experience,Business Analyst
Behavioural Science for Business,Decision Making,Business Analyst,"Communication, Stakeholder Management & Soft Skills",Business Analyst
Behavioural Science for Business,UX/UI,UXUI,User Experience (UX),Data Analyst
Behavioural Science for Business,User Session,UXUI,Data Analytics & Measurement,Digital and performance marketer
Building Data Ecosystem: First Steps to a Data-Driven Company,Data Analysis,Data Analyst,Data Analysis & Statistics,Data Analyst
Building Data Ecosystem: First Steps to a Data-Driven Company,Data Ecosystem,Data Engineer,Data Architecture & Storage,Data Engineer
Building Data Ecosystem: First Steps to a Data-Driven Company,Data Governance,Data Engineer,"Governance, Quality & Security",Data Engineer
Building Data Ecosystem: First Steps to a Data-Driven Company,Data Integration,Data Engineer,Data Analytics & Business Intelligence,Business Analyst
Building Data Ecosystem: First Steps to a Data-Driven Company,Data Presentation,Data Analyst,Data Visualization & Reporting,Data Analyst
Building Data Ecosystem: First Steps to a Data-Driven Company,Data Warehouse,Data Engineer,Data Architecture & Storage,Data Engineer
Building Hybrid Applications with Flutter,Ad Structure,Digital and performance marketer,Paid Media & Advertising (Performance Marketing),Digital and performance marketer
Building Hybrid Applications with Flutter,Flutter Basics,Software Developer and Prompt Engineer),#N/A,#N/A
Building Hybrid Applications with Flutter,Navigation,Software Developer and Prompt Engineer),#N/A,#N/A
Building Hybrid Applications with Flutter,State Hook,Software Developer and Prompt Engineer,Frontend Development & UI/UX,Software Developer and Prompt 
Building Hybrid Applications with Flutter,Third-Party Libraries,Software Developer and Prompt Engineer),#N/A,#N/A
Building Microservices with Go,API Service,Software Developer and Prompt Engineer),"Technical Skills, Tools & Automation",Business Analyst
Building Microservices with Go,Concurrent Programming,Software Developer and Prompt Engineer),#N/A,#N/A
Building Microservices with Go,Distributed Systems,Software Developer and Prompt Engineer),"Cloud, DevOps & Architecture",Software Developer and Prompt 
Building Microservices with Go,Hexagonal Architecture,Software Developer and Prompt Engineer,"Cloud, DevOps & Architecture",Software Developer and Prompt 
Building Microservices with Go,Microservices,Software Developer and Prompt Engineer,"Cloud, DevOps & Architecture",Software Developer and Prompt 
Building Your First Web Application with React,Auto Save,Software Developer and Prompt Engineer),MarTech & Operational Tools,Digital and performance marketer
Building Your First Web Application with React,Event Handling,Software Developer and Prompt Engineer),Frontend Development & UI/UX,Software Developer and Prompt 
Building Your First Web Application with React,Event Loop,Software Developer and Prompt Engineer),"Backend, APIs & Database",Software Developer and Prompt 
Building Your First Web Application with React,Local Storage,Software Developer and Prompt Engineer),#N/A,#N/A
Building Your First Web Application with React,React Hooks,Software Developer and Prompt Engineer,Frontend Development & UI/UX,Software Developer and Prompt 
Building Your First Web Application with React,State Hook,Software Developer and Prompt Engineer,Frontend Development & UI/UX,Software Developer and Prompt 
Business Model Canvas (BMC),Business Model Canvas,Business Analyst,Business Strategy & Domain Knowledge,Business Analyst
Business Model Canvas (BMC),Customer Segments,Business Analyst,Product Management & Customer Insights,Business Analyst
Business Model Canvas (BMC),Key Activities,Business Analyst,Business Strategy & Domain Knowledge,Business Analyst
Business Model Canvas (BMC),Revenue Streams,Business Analyst,Business Strategy & Domain Knowledge,Business Analyst
Business Model Canvas (BMC),Value Propositions,Business Analyst,Business Strategy & Domain Knowledge,Business Analyst
Calligraphy with Procreate,Brush Techniques,UXUI,Visual Interface Design,UXUI
Calligraphy with Procreate,Letter Formation,UXUI,Visual Interface Design,UXUI
Calligraphy with Procreate,Procreate Tools,UXUI,Visual Interface Design,UXUI
Calligraphy with Procreate,SQL,Database Administrator,Data Security & Privacy,Cybersecurity Specialist
Content Marketing สร้างตัวตนบนโลกออนไลน์,Marketing,Digital and performance marketer,Marketing Strategy & Market Research,Digital and performance marketer
Content Marketing สร้างตัวตนบนโลกออนไลน์,Audience Insights,Digital and performance marketer,Data Analytics & Measurement,Digital and performance marketer
Content Marketing สร้างตัวตนบนโลกออนไลน์,Content Strategy,Digital and performance marketer,Content Strategy & Creative Production,Digital and performance marketer
Content Marketing สร้างตัวตนบนโลกออนไลน์,Creative Writing,Digital and performance marketer,"Communication, Stakeholder Management & Soft Skills",Business Analyst
Content Marketing สร้างตัวตนบนโลกออนไลน์,Metrics,Digital and performance marketer,Data Analysis & Statistics,Data Analyst
Content Marketing สร้างตัวตนบนโลกออนไลน์,SEO optimization,Digital and performance marketer,SEO & Web Optimization,Digital and performance marketer
Content Marketing สร้างตัวตนบนโลกออนไลน์,Static Files,Digital and performance marketer,"Technical Skills, Tools & Automation",Business Analyst
Customer Decision Journey เส้นทางการตัดสินใจของลูกค้า,Behavior Tracking,Digital and performance marketer,Behavioral Science & User Experience,Business Analyst
Customer Decision Journey เส้นทางการตัดสินใจของลูกค้า,Customer Journey Mapping,UXUI,User Research & Strategy,UXUI
Customer Decision Journey เส้นทางการตัดสินใจของลูกค้า,Insights,Digital and performance marketer,Data Analytics & Business Intelligence,Business Analyst
Customer Decision Journey เส้นทางการตัดสินใจของลูกค้า,Persona Development,UXUI,User Research & Strategy,UXUI
Customer Decision Journey เส้นทางการตัดสินใจของลูกค้า,Touchpoint Analysis,Digital and performance marketer,Data Analytics & Measurement,Digital and performance marketer
Customer Decision Journey เส้นทางการตัดสินใจของลูกค้า,UX/UI,UXUI,User Experience (UX),Data Analyst
Customer Journey Mapping,Customer Journey Mapping,UXUI,User Research & Strategy,UXUI
Customer Journey Mapping,Data Tools,UXUI,Data Analytics & Business Intelligence,Business Analyst
Customer Journey Mapping,Image Map,UXUI,Visual Interface Design,UXUI
Customer Journey Mapping,Pain Point Identification,UXUI,User Research & Strategy,UXUI
Customer Journey Mapping,Responsive Design,UXUI,Frontend Development & UI/UX,Software Developer and Prompt 
Customer Journey Mapping,Use Case Analysis,Business Analyst,Requirements Engineering & System Analysis,Business Analyst
Customer Journey Mapping,User Research,UXUI,User Research & Strategy,UXUI
Cybersecurity Awareness,Cyber Threats,Cybersecurity Specialist,Threat Intelligence & Incident Response,Cybersecurity Specialist
Cybersecurity Awareness,Cybersecurity,Cybersecurity Specialist,General Security Concepts,Cybersecurity Specialist
Cybersecurity Awareness,Data Privacy,Cybersecurity Specialist,Data Security & Privacy,Cybersecurity Specialist
Cybersecurity Awareness,Monitoring for Cyber Threats,Cybersecurity Specialist,Threat Intelligence & Incident Response,Cybersecurity Specialist
Cybersecurity Awareness,Social Engineering,Cybersecurity Specialist,Threat Intelligence & Incident Response,Cybersecurity Specialist
Cybersecurity Awareness,Threat Assessment,Cybersecurity Specialist,Threat Intelligence & Incident Response,Cybersecurity Specialist
Cybersecurity Awareness,Threat Detection,Cybersecurity Specialist,Threat Intelligence & Incident Response,Cybersecurity Specialist
Cybersecurity Awareness,Security Awareness,Cybersecurity Specialist,General Security Concepts,Cybersecurity Specialist
Cybersecurity Fundamentals,Access Management,Cybersecurity Specialist,Identity & Access Management (IAM),Cybersecurity Specialist
Cybersecurity Fundamentals,Cryptography,Cybersecurity Specialist,Data Security & Privacy,Cybersecurity Specialist
Cybersecurity Fundamentals,Cyber Threats,Cybersecurity Specialist,Threat Intelligence & Incident Response,Cybersecurity Specialist
Cybersecurity Fundamentals,Cybersecurity,Cybersecurity Specialist,General Security Concepts,Cybersecurity Specialist
Cybersecurity Fundamentals,Information Security,Cybersecurity Specialist,Data Security & Privacy,Cybersecurity Specialist
Cybersecurity Fundamentals,Risk management,Cybersecurity Specialist,"Governance, Risk & Compliance (GRC)",Cybersecurity Specialist
Cybersecurity Fundamentals,Vulnerability Assessment,Cybersecurity Specialist,Vulnerability Management & Offensive Security,Cybersecurity Specialist
Cybersecurity Fundamentals,Vulnerability Management,Cybersecurity Specialist,Vulnerability Management & Offensive Security,Cybersecurity Specialist
Cybersecurity Operations,Access Management,Cybersecurity Specialist,Identity & Access Management (IAM),Cybersecurity Specialist
Cybersecurity Operations,Cyber Threats,Cybersecurity Specialist,Threat Intelligence & Incident Response,Cybersecurity Specialist
Cybersecurity Operations,Cybersecurity,Cybersecurity Specialist,General Security Concepts,Cybersecurity Specialist
Cybersecurity Operations,Identity Management,Cybersecurity Specialist,Identity & Access Management (IAM),Cybersecurity Specialist
Cybersecurity Operations,Incident Response,Cybersecurity Specialist,Threat Intelligence & Incident Response,Cybersecurity Specialist
Cybersecurity Operations,Network Security,Cybersecurity Specialist,Network & Endpoint Security,Cybersecurity Specialist
Dashboard Design Principles,Data Visualization,Data Analyst,Data Analytics & Business Intelligence,Business Analyst
Dashboard Design Principles,Filter Function,Data Analyst,"Data Manipulation, Transformation & Modeling",Data Analyst
Dashboard Design Principles,Graph Selection,Data Analyst,Data Visualization & Reporting,Data Analyst
Dashboard Design Principles,UX/UI,UXUI,User Experience (UX),Data Analyst
Dashboard Design Principles,User Empathy,UXUI,User Research & Strategy,UXUI
Data Design Fundamental การออกแบบข้อมูลเบื้องต้น,Data Design Rules,Data Engineer,"Governance, Quality & Security",Data Engineer
Data Design Fundamental การออกแบบข้อมูลเบื้องต้น,Data Storytelling,Data Analyst,Communication & Insights,Data Analyst
Data Design Fundamental การออกแบบข้อมูลเบื้องต้น,Data Visualization,Data Analyst,Data Analytics & Business Intelligence,Business Analyst
Data Design Fundamental การออกแบบข้อมูลเบื้องต้น,Interaction Design,UXUI,Interaction Design & Prototyping,UXUI
Data Design Fundamental การออกแบบข้อมูลเบื้องต้น,Qlik Sense,Data Analyst,"Tools, Technologies & Programming",Data Analyst
Data Design Fundamental การออกแบบข้อมูลเบื้องต้น,UX/UI,UXUI,User Experience (UX),Data Analyst
Data Pipelines with Airflow,Automated Workflow,Data Engineer,Data Pipeline & ETL,Data Engineer
Data Pipelines with Airflow,Data Quality,Data Engineer,Data Management & Governance,Data Analyst
Data Pipelines with Airflow,Data Security,Data Engineer,Data Security & Privacy,Cybersecurity Specialist
Data Pipelines with Airflow,Data pipeline,Data Engineer,Data Analytics & Business Intelligence,Business Analyst
Data Pipelines with Airflow,ETL/ELT,Data Engineer,Data Pipeline & ETL,Data Engineer
Data Pipelines with Airflow,Error Handling,Data Engineer,"Tools, Technologies & Programming",Data Analyst
Data Pipelines with Airflow,Neural Networks,Data Engineer,Programming & Tools,Data Engineer
Data Pipelines with Airflow,Webflow Basics,Data Engineer,Programming & Tools,Data Engineer
Data Storytelling with Infographics,Audience Engagement,Data Analyst,Communication & Insights,Data Analyst
Data Storytelling with Infographics,Data Storytelling,Data Analyst,Communication & Insights,Data Analyst
Data Storytelling with Infographics,Data Visualization,Data Analyst,Data Analytics & Business Intelligence,Business Analyst
Data Storytelling with Infographics,Information Clarity,Data Analyst,Communication & Insights,Data Analyst
Data Storytelling with Infographics,UX/UI,UXUI,User Experience (UX),Data Analyst
Data-Driven Marketing with LINE OA,Ad Targeting,Digital and performance marketer,Paid Media & Advertising (Performance Marketing),Digital and performance marketer
Data-Driven Marketing with LINE OA,Campaign Management,Digital and performance marketer,Paid Media & Advertising (Performance Marketing),Digital and performance marketer
Data-Driven Marketing with LINE OA,Customer Insight,Digital and performance marketer,Data Analytics & Measurement,Digital and performance marketer
Data-Driven Marketing with LINE OA,Data Collection,Digital and performance marketer,Data Analytics & Business Intelligence,Business Analyst
Data-Driven Marketing with LINE OA,Data-Driven,Digital and performance marketer,Communication & Insights,Data Analyst
Data-Driven Marketing with LINE OA,LINE OA,Digital and performance marketer,Social Media & Community Management,Digital and performance marketer
Debugging and Publishing Your Android Apps,Android Emulator,Software Developer and Prompt Engineer),#N/A,#N/A
Debugging and Publishing Your Android Apps,App Publishing,Software Developer and Prompt Engineer),#N/A,#N/A
Debugging and Publishing Your Android Apps,Data Tools,Software Developer and Prompt Engineer),Data Analytics & Business Intelligence,Business Analyst
Debugging and Publishing Your Android Apps,Logcat,Software Developer and Prompt Engineer),#N/A,#N/A
Debugging and Publishing Your Android Apps,Profiling,Software Developer and Prompt Engineer),#N/A,#N/A
Debugging and Publishing Your Android Apps,User Feedback,Software Developer and Prompt Engineer,Product Management & Customer Insights,Business Analyst
Deep Learning with PyTorch,Deep Learning,Data Scientist,Machine Learning & Modeling,Data Scientist
Deep Learning with PyTorch,Gradient Descent,Data Scientist,Machine Learning & Modeling,Data Scientist
Deep Learning with PyTorch,Models,Data Scientist,Machine Learning & Modeling,Data Scientist
Deep Learning with PyTorch,Neural Networks,Data Scientist,Programming & Tools,Data Engineer
Deep Learning with PyTorch,PyTorch,Data Scientist,Tools & Technologies,Data Scientist
Design Thinking for Creating People Experience การสร้างประสบการณ์ด้วยการคิดเชิงออกแบบ,Define,UXUI,"Process, Management & Methodology",UXUI
Design Thinking for Creating People Experience การสร้างประสบการณ์ด้วยการคิดเชิงออกแบบ,Design Thinking,UXUI,"Process, Management & Methodology",UXUI
Design Thinking for Creating People Experience การสร้างประสบการณ์ด้วยการคิดเชิงออกแบบ,Empathize,UXUI,Behavioral Science & User Experience,Business Analyst
Design Thinking for Creating People Experience การสร้างประสบการณ์ด้วยการคิดเชิงออกแบบ,Ideate,UXUI,"Process, Management & Methodology",UXUI
Design Thinking for Creating People Experience การสร้างประสบการณ์ด้วยการคิดเชิงออกแบบ,Prototype,UXUI,Interaction Design & Prototyping,UXUI
Design Thinking for Creating People Experience การสร้างประสบการณ์ด้วยการคิดเชิงออกแบบ,Test,UXUI,Data Analytics & Measurement,Digital and performance marketer
Design Thinking for Innovation,Case Studies,UXUI,"Communication, Stakeholder Management & Soft Skills",Business Analyst
Design Thinking for Innovation,Design Thinking,UXUI,"Process, Management & Methodology",UXUI
Design Thinking for Innovation,Ideation Techniques,UXUI,"Process, Management & Methodology",UXUI
Design Thinking for Innovation,Prototyping,UXUI,Interaction Design & Prototyping,UXUI
Design Thinking for Innovation,User Empathy,UXUI,User Research & Strategy,UXUI
DevSecOps Transformation & Technologies,Agile Method,Software Developer and Prompt Engineer),Project Management & Agile Methodologies,Business Analyst
DevSecOps Transformation & Technologies,Continuous Deployment,Software Developer and Prompt Engineer),Application Security & DevSecOps,Cybersecurity Specialist
DevSecOps Transformation & Technologies,Continuous Integration (CI),Software Developer and Prompt Engineer),#N/A,#N/A
DevSecOps Transformation & Technologies,Data Tools,Cybersecurity Specialist,Data Analytics & Business Intelligence,Business Analyst
DevSecOps Transformation & Technologies,DevSecOps,Cybersecurity Specialist,Application Security & DevSecOps,Cybersecurity Specialist
DevSecOps Transformation & Technologies,Emerging Technologies,Cybersecurity Specialist,General Security Concepts,Cybersecurity Specialist
DevSecOps Transformation & Technologies,Infrastructure as Code,Software Developer and Prompt Engineer),"Cloud, DevOps & Architecture",Software Developer and Prompt 
DevSecOps Transformation & Technologies,Security Automation,Cybersecurity Specialist,Application Security & DevSecOps,Cybersecurity Specialist
DevSecOps Transformation & Technologies,Version Control,Software Developer and Prompt Engineer,"Cloud, DevOps & Architecture",Software Developer and Prompt 
Developing Robust API Services with Go,7P Framework,Software Developer and Prompt Engineer,Business Strategy & Domain Knowledge,Business Analyst
Developing Robust API Services with Go,API Development,Software Developer and Prompt Engineer,"Backend, APIs & Database",Software Developer and Prompt 
Developing Robust API Services with Go,Database Connection,Software Developer and Prompt Engineer),#N/A,#N/A
Developing Robust API Services with Go,Docker,Software Developer and Prompt Engineer,"Cloud, DevOps & Architecture",Software Developer and Prompt 
Developing Robust API Services with Go,Error Handling,Software Developer and Prompt Engineer),"Tools, Technologies & Programming",Data Analyst
Developing Robust API Services with Go,Golang,Software Developer and Prompt Engineer),#N/A,#N/A
Developing Robust API Services with Go,Graceful Shutdown,Software Developer and Prompt Engineer),#N/A,#N/A
Digital Business Essentials,Business Model Canvas,Business Analyst,Business Strategy & Domain Knowledge,Business Analyst
Digital Business Essentials,Business Strategies,Business Analyst,Business Strategy & Domain Knowledge,Business Analyst
Digital Business Essentials,Market Trends,Digital and performance marketer,Product Management & Customer Insights,Business Analyst
Digital Business Essentials,Revenue Models,Business Analyst,Business Strategy & Domain Knowledge,Business Analyst
Digital Business Essentials,Use Case,Business Analyst,Requirements Engineering & System Analysis,Business Analyst
Digital Content Writing for beginner,Buyer Persona,Digital and performance marketer,Customer Insights & Targeting,Digital and performance marketer
Digital Content Writing for beginner,Content Planning,Digital and performance marketer,Content Strategy & Creative Production,Digital and performance marketer
